anio_mundial,equipo_local,equipo_visitante,url_partido,jugador,seleccion_gol,minuto,minuto_num,tipo_gol,tiempo_extra
1982,España,Yugoslavia,1982_espana_yugoslavia,Juanito,España,14,14,penal,false
1982,España,Yugoslavia,1982_espana_yugoslavia,Enrique Saura,España,66,66,normal,false
1982,Inglaterra,Checoslovaquia,1982_inglaterra_checoslovaquia,Trevor Francis,Inglaterra,62,62,normal,false
1982,Inglaterra,Checoslovaquia,1982_inglaterra_checoslovaquia,Jozef Barmos,Inglaterra,66,66,normal,false
1982,Alemania Occidental,Chile,1982_alemania_occidental_chile,Karl-Heinz Rummenigge,Alemania Occidental,9,9,normal,false
1982,Alemania Occidental,Chile,1982_alemania_occidental_chile,Karl-Heinz Rummenigge,Alemania Occidental,57,57,normal,false
1982,Alemania Occidental,Chile,1982_alemania_occidental_chile,Karl-Heinz Rummenigge,Alemania Occidental,66,66,normal,false
1982,Alemania Occidental,Chile,1982_alemania_occidental_chile,Uwe Reinders,Alemania Occidental,83,83,normal,false
1982,Alemania Occidental,Chile,1982_alemania_occidental_chile,Gustavo Moscoso,Chile,90,90,normal,false
1982,Honduras,Irlanda del Norte,1982_honduras_irlanda_del_norte,Gerry Armstrong,Irlanda del Norte,9,9,normal,false
1982,Honduras,Irlanda del Norte,1982_honduras_irlanda_del_norte,Eduardo Laing,Honduras,60,60,normal,false
1982,Francia,Kuwait,1982_francia_kuwait,Bernard Genghini,Francia,31,31,normal,false
1982,Francia,Kuwait,1982_francia_kuwait,Michel Platini,Francia,43,43,normal,false
1982,Francia,Kuwait,1982_francia_kuwait,Didier Six,Francia,48,48,normal,false
1982,Francia,Kuwait,1982_francia_kuwait,Abdulaziz Al Balushi,Kuwait,75,75,normal,false
1982,Francia,Kuwait,1982_francia_kuwait,Maxime Bossis,Francia,89,89,normal,false
1982,Argelia,Austria,1982_argelia_austria,Walter Schachner,Austria,55,55,normal,false
1982,Argelia,Austria,1982_argelia_austria,Hans Krankl,Austria,67,67,normal,false
1982,URSS,Escocia,1982_urss_escocia,Joe Jordan,Escocia,15,15,normal,false
1982,URSS,Escocia,1982_urss_escocia,Aleksandr Chivadze,URSS,59,59,normal,false
1982,URSS,Escocia,1982_urss_escocia,Ramaz Shengelia,URSS,84,84,normal,false
1982,URSS,Escocia,1982_urss_escocia,Graeme Souness,Escocia,86,86,normal,false
1982,Bélgica,Hungría,1982_belgica_hungria,Jozsef Varga,Hungría,27,27,normal,false
1982,Bélgica,Hungría,1982_belgica_hungria,Alex Czerniatynski,Bélgica,76,76,normal,false
1982,Polonia,Perú,1982_polonia_peru,Wlodimierz Smolarek,Polonia,55,55,normal,false
1982,Polonia,Perú,1982_polonia_peru,Grzegorz Lato,Polonia,58,58,normal,false
1982,Polonia,Perú,1982_polonia_peru,Zbigniew Boniek,Polonia,61,61,normal,false
1982,Polonia,Perú,1982_polonia_peru,Andrzej Buncol,Polonia,68,68,normal,false
1982,Polonia,Perú,1982_polonia_peru,Wlodzimierz Ciolek,Polonia,76,76,normal,false
1982,Polonia,Perú,1982_polonia_peru,Guillermo La Rosa,Perú,83,83,normal,false
1982,Italia,Camerún,1982_italia_camerun,Francesco Graziani,Italia,60,60,normal,false
1982,Italia,Camerún,1982_italia_camerun,Gregoire Mbida,Camerún,61,61,normal,false
1982,Argentina,El Salvador,1982_argentina_el_salvador,Daniel Passarella,Argentina,22,22,penal,false
1982,Argentina,El Salvador,1982_argentina_el_salvador,Daniel Bertoni,Argentina,54,54,normal,false
1982,Brasil,Nueva Zelanda,1982_brasil_nueva_zelanda,Zico,Brasil,28,28,normal,false
1982,Brasil,Nueva Zelanda,1982_brasil_nueva_zelanda,Zico,Brasil,31,31,normal,false
1982,Brasil,Nueva Zelanda,1982_brasil_nueva_zelanda,Falcao,Brasil,64,64,normal,false
1982,Brasil,Nueva Zelanda,1982_brasil_nueva_zelanda,Serginho,Brasil,70,70,normal,false
1982,Honduras,Yugoslavia,1982_honduras_yugoslavia,Vladimir Petrovic,Yugoslavia,88,88,penal,false
1982,Francia,Checoslovaquia,1982_francia_checoslovaquia,Didier Six,Francia,66,66,normal,false
1982,Francia,Checoslovaquia,1982_francia_checoslovaquia,Antonin Panenka,Checoslovaquia,84,84,penal,false
1982,Argelia,Chile,1982_argelia_chile,Salah Assad,Argelia,7,7,normal,false
1982,Argelia,Chile,1982_argelia_chile,Salah Assad,Argelia,31,31,normal,false
1982,Argelia,Chile,1982_argelia_chile,Tedj Bensaoula,Argelia,35,35,normal,false
1982,Argelia,Chile,1982_argelia_chile,Miguel Neira,Chile,59,59,penal,false
1982,Argelia,Chile,1982_argelia_chile,Juan Letelier,Chile,73,73,normal,false
1982,Irlanda del Norte,España,1982_irlanda_del_norte_espana,Gerry Armstrong,Irlanda del Norte,47,47,normal,false
1982,Alemania Occidental,Austria,1982_alemania_occidental_austria,Horst Hrubesch,Alemania Occidental,10,10,normal,false
1982,Inglaterra,Kuwait,1982_inglaterra_kuwait,Trevor Francis,Inglaterra,27,27,normal,false
1982,Austria,Francia,1982_austria_francia,Bernard Genghini,Francia,39,39,normal,false
1982,Polonia,Bélgica,1982_polonia_belgica,Zbigniew Boniek,Polonia,4,4,normal,false
1982,Polonia,Bélgica,1982_polonia_belgica,Zbigniew Boniek,Polonia,26,26,normal,false
1982,Polonia,Bélgica,1982_polonia_belgica,Zbigniew Boniek,Polonia,53,53,normal,false
1982,Italia,Argentina,1982_italia_argentina,Marco Tardelli,Italia,57,57,normal,false
1982,Italia,Argentina,1982_italia_argentina,Antonio Cabrini,Italia,67,67,normal,false
1982,Italia,Argentina,1982_italia_argentina,Daniel Passarella,Argentina,83,83,normal,false
1982,Bélgica,URSS,1982_belgica_urss,Khoren Oganesian,URSS,48,48,normal,false
1982,Austria,Irlanda del Norte,1982_austria_irlanda_del_norte,Billy Hamilton,Irlanda del Norte,27,27,normal,false
1982,Austria,Irlanda del Norte,1982_austria_irlanda_del_norte,Bruno Pezzey,Austria,50,50,normal,false
1982,Austria,Irlanda del Norte,1982_austria_irlanda_del_norte,Reinhold Hintermaier,Austria,68,68,normal,false
1982,Austria,Irlanda del Norte,1982_austria_irlanda_del_norte,Billy Hamilton,Irlanda del Norte,75,75,normal,false
1982,Argentina,Brasil,1982_argentina_brasil,Zico,Brasil,11,11,normal,false
1982,Argentina,Brasil,1982_argentina_brasil,Serginho,Brasil,66,66,normal,false
1982,Argentina,Brasil,1982_argentina_brasil,Junior,Brasil,75,75,normal,false
1982,Argentina,Brasil,1982_argentina_brasil,Ramon Diaz,Argentina,89,89,normal,false
1982,Alemania Occidental,España,1982_alemania_occidental_espana,Pierre Littbarski,Alemania Occidental,50,50,normal,false
1982,Alemania Occidental,España,1982_alemania_occidental_espana,Klaus Fischer,Alemania Occidental,75,75,normal,false
