apellido,nombre,nombre_completo,seleccion,fecha_nacimiento,posicion,url_ficha
Saïss,Romain,Romain Ghanem Paul Saïss,Marruecos,26 de marzo de 1990,Defensor,https://www.losmundialesdefutbol.com/jugadores/romain_saiss.php
Saito,Manabu,"Saito, Manabu",Japón,4 de abril de 1990,Delantero,https://www.losmundialesdefutbol.com/jugadores/manabu_saito.php
Saito,Toshihide,"Saito, Toshihide",Japón,20 de abril de 1973,Defensor,https://www.losmundialesdefutbol.com/jugadores/toshihide_saito.php
Saka,Bukayo,Bukayo Ayoyinka Temidayo Saka,Inglaterra,5 de septiembre de 2001,Delantero,https://www.losmundialesdefutbol.com/jugadores/bukayo_saka.php
Sakai,Gotoku,Gōtoku Sakai,Japón,14 de marzo de 1991,Defensor,https://www.losmundialesdefutbol.com/jugadores/gotoku_sakai.php
Sakai,Hiroki,Hiroki Sakai,Japón,12 de abril de 1990,Defensor,https://www.losmundialesdefutbol.com/jugadores/hiroki_sakai.php
Sakho,Diafra,Diafra Sakho,Senegal,24 de diciembre de 1989,Delantero,https://www.losmundialesdefutbol.com/jugadores/diafra_sakho.php
Sakho,Mamadou,"Sakho, Mamadou",Francia,13 de febrero de 1990,Defensor,https://www.losmundialesdefutbol.com/jugadores/mamadou_sakho.php
Sala,Claudio,"Sala, Claudio",Italia,8 de septiembre de 1947,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/claudio_sala.php
Sala,Patrizio,"Sala, Patrizio",Italia,16 de junio de 1955,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/patrizio_sala.php
Salah,Mohamed,Mohamed Salah Hamed Mahrous Ghaly,Egipto,15 de junio de 1992,Delantero,https://www.losmundialesdefutbol.com/jugadores/mohamed_salah.php
Salami,Jamal,"Salami, Jamal",Marruecos,6 de octubre de 1970,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/jamal_salami.php
Salas,Marcelo,"Salas, Marcelo",Chile,24 de diciembre de 1974,Delantero,https://www.losmundialesdefutbol.com/jugadores/marcelo_salas.php
Salas,Youstin,Youstin Delfín Salas Gómez,Costa Rica,17 de junio de 1996,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/youstin_salas.php
Salata,Kornel,"Salata, Kornel",Eslovaquia,24 de enero de 1985,Defensor,https://www.losmundialesdefutbol.com/jugadores/kornel_salata.php
Salazar,Jaime,"Salazar, Jaime",México,6 de febrero de 1931,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/jaime_salazar.php
Salazar,Jose,"Salazar, Jose",Uruguay,26 de octubre de 1963,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/jose_salazar.php
Salcedo,Carlos,Carlos Joel Salcedo Hernández,México,29 de septiembre de 1993,Defensor,https://www.losmundialesdefutbol.com/jugadores/carlos_salcedo.php
Salcido,Carlos,"Salcido, Carlos",México,2 de abril de 1980,Defensor,https://www.losmundialesdefutbol.com/jugadores/carlos_salcido.php
Saldombide,Zoilo,"Saldombide, Zoilo",Uruguay,18 de marzo de 1905,Delantero,https://www.losmundialesdefutbol.com/jugadores/zoilo_saldombide.php
Saleh,Hamza,"Saleh, Hamza",Arabia Saudita,19 de abril de 1967,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/hamza_saleh.php
Salenko,Oleg,"Salenko, Oleg",Rusia,25 de octubre de 1969,Delantero,https://www.losmundialesdefutbol.com/jugadores/oleg_salenko.php
Salgado,Jose,"Salgado, Jose",México,3 de abril de 1966,Defensor,https://www.losmundialesdefutbol.com/jugadores/jose_salgado.php
Salgado,Michel,"Salgado, Michel",España,22 de octubre de 1975,Defensor,https://www.losmundialesdefutbol.com/jugadores/michel_salgado.php
Salguero,Rafael,"Salguero, Rafael",Perú,10 de agosto de 1951,Defensor,https://www.losmundialesdefutbol.com/jugadores/rafael_salguero.php
Salhi,Radhouane,"Salhi, Radhouane",Túnez,18 de diciembre de 1967,Arquero,https://www.losmundialesdefutbol.com/jugadores/radhouane_salhi.php
Saliba,William,"Saliba, William",Francia,24 de marzo de 2001,Defensor,https://www.losmundialesdefutbol.com/jugadores/william_saliba.php
Salifou,Moustapha,"Salifou, Moustapha",Togo,1 de junio de 1983,Delantero,https://www.losmundialesdefutbol.com/jugadores/moustapha_salifou.php
