apellido,nombre,nombre_completo,seleccion,fecha_nacimiento,posicion,url_ficha
Ognjanovic,Radivoje,"Ognjanovic, Radivoje",Yugoslavia,1 de julio de 1938,Delantero,https://www.losmundialesdefutbol.com/jugadores/radivoje_ognjanovic.php
Ognjenovic,Perica,"Ognjenovic, Perica",RF de Yugoslavia,24 de febrero de 1977,Delantero,https://www.losmundialesdefutbol.com/jugadores/perica_ognjenovic.php
Ogris,Andeas,"Ogris, Andeas",Austria,7 de octubre de 1964,Delantero,https://www.losmundialesdefutbol.com/jugadores/andeas_ogris.php
Ogu,John,John Ogu,Nigeria,20 de abril de 1988,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/john_ogu.php
Oguro,Masashi,"Oguro, Masashi",JapÃ³n,4 de mayo de 1980,Delantero,https://www.losmundialesdefutbol.com/jugadores/masashi_oguro.php
Oh,Ban-suk,Ban-suk Oh,Corea del Sur,20 de mayo de 1988,Defensor,https://www.losmundialesdefutbol.com/jugadores/ban_suk_oh.php
Oh,Beom Seok,"Oh, Beom Seok",Corea del Sur,29 de julio de 1984,Defensor,https://www.losmundialesdefutbol.com/jugadores/beom_seok_oh.php
Oh,Yoon Kyung,"Oh, Yoon Kyung",Corea del Norte,6 de agosto de 1941,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/yoon_kyung_oh.php
Oh,Yun Kyo,"Oh, Yun Kyo",Corea del Sur,25 de mayo de 1960,Arquero,https://www.losmundialesdefutbol.com/jugadores/yun_kyo_oh.php
Ohlsson,Ove,"Ohlsson, Ove",Suecia,19 de agosto de 1938,Delantero,https://www.losmundialesdefutbol.com/jugadores/ove_ohlsson.php
Ohrel,Christophe,"Ohrel, Christophe",Suiza,7 de abril de 1968,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/christophe_ohrel.php
Ojeda,Tomas,"Ojeda, Tomas",Chile,20 de abril de 1910,Delantero,https://www.losmundialesdefutbol.com/jugadores/tomas_ojeda.php
Okafor,Noah,"Okafor, Noah",Suiza,24 de mayo de 2000,Delantero,https://www.losmundialesdefutbol.com/jugadores/noah_okafor.php
Okafor,Uche,"Okafor, Uche",Nigeria,8 de agosto de 1967,Defensor,https://www.losmundialesdefutbol.com/jugadores/uche_okafor.php
Okano,Masayuki,"Okano, Masayuki",JapÃ³n,25 de julio de 1972,Delantero,https://www.losmundialesdefutbol.com/jugadores/masayuki_okano.php
Okazaki,Shinji,Shinji Okazaki,JapÃ³n,16 de abril de 1986,Delantero,https://www.losmundialesdefutbol.com/jugadores/shinji_okazaki.php
Okechukwu,Uche,"Okechukwu, Uche",Nigeria,27 de septiembre de 1967,Defensor,https://www.losmundialesdefutbol.com/jugadores/uche_okechukwu.php
Okocha,Jay Jay,"Okocha, Jay Jay",Nigeria,14 de agosto de 1973,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/jay_jay_okocha.php
Okoronkwo,Isaac,"Okoronkwo, Isaac",Nigeria,1 de mayo de 1978,Defensor,https://www.losmundialesdefutbol.com/jugadores/isaac_okoronkwo.php
Okpara,Godwin,"Okpara, Godwin",Nigeria,20 de septiembre de 1972,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/godwin_okpara.php
Okpara,Willy,"Okpara, Willy",Nigeria,7 de mayo de 1968,Arquero,https://www.losmundialesdefutbol.com/jugadores/willy_okpara.php
Okubo,Yoshito,"Okubo, Yoshito",JapÃ³n,9 de junio de 1982,Delantero,https://www.losmundialesdefutbol.com/jugadores/yoshito_okubo.php
Olaechea,Jorge,"Olaechea, Jorge",PerÃº,27 de agosto de 1956,Defensor,https://www.losmundialesdefutbol.com/jugadores/jorge_olaechea.php
Olarticoechea,Julio,"Olarticoechea, Julio",Argentina,18 de octubre de 1958,"Defensor, Mediocampista",https://www.losmundialesdefutbol.com/jugadores/julio_olarticoechea.php
Olembe,Salomon,"Olembe, Salomon",CamerÃºn,8 de diciembre de 1980,"Defensor, Mediocampista",https://www.losmundialesdefutbol.com/jugadores/salomon_olembe.php
Oleniak,Juan,"Oleniak, Juan",Argentina,6 de marzo de 1942,Delantero,https://www.losmundialesdefutbol.com/jugadores/juan_oleniak.php
Olguin,Jorge,"Olguin, Jorge",Argentina,17 de mayo de 1952,Defensor,https://www.losmundialesdefutbol.com/jugadores/jorge_olguin.php
Olic,Ivica,"Olic, Ivica",Croacia,14 de septiembre de 1979,Delantero,https://www.losmundialesdefutbol.com/jugadores/ivica_olic.php
Oliha,Thompson,"Oliha, Thompson",Nigeria,4 de octubre de 1968,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/thompson_oliha.php
Olinga,Fabrice,"Olinga, Fabrice",CamerÃºn,12 de mayo de 1996,Delantero,https://www.losmundialesdefutbol.com/jugadores/fabrice.php
Olisadebe,Emmanuel,"Olisadebe, Emmanuel",Polonia,22 de diciembre de 1978,Delantero,https://www.losmundialesdefutbol.com/jugadores/emmanuel_olisadebe.php
Oliseh,Sunday,"Oliseh, Sunday",Nigeria,14 de septiembre de 1974,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/sunday_oliseh.php
Olivares,Felipe,"Olivares, Felipe",MÃ©xico,5 de febrero de 1910,Delantero,https://www.losmundialesdefutbol.com/jugadores/felipe_olivares.php
Olivares,Juan,"Olivares, Juan",Chile,20 de febrero de 1941,Arquero,https://www.losmundialesdefutbol.com/jugadores/juan_olivares.php
,Oliveira,Oliveira,Portugal,8 de junio de 1958,Defensor,https://www.losmundialesdefutbol.com/jugadores/oliveira.php
Oliveira,Carlos,"Oliveira, Carlos",Cuba,,Delantero,https://www.losmundialesdefutbol.com/jugadores/carlos_oliveira.php
Oliveira,Luis,"Oliveira, Luis",BÃ©lgica,24 de marzo de 1969,Delantero,https://www.losmundialesdefutbol.com/jugadores/luis_oliveira.php
Olivella,Fernando,"Olivella, Fernando",EspaÃ±a,22 de junio de 1936,Defensor,https://www.losmundialesdefutbol.com/jugadores/fernando_olivella.php
Oliver,Arnie,"Oliver, Arnie",Estados Unidos,22 de mayo de 1907,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/arnie_oliver.php
Oliver,Celestin,"Oliver, Celestin",Francia,12 de julio de 1930,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/celestin_oliver.php
Olivera,MathÃ­as,"Olivera, MathÃ­as",Uruguay,31 de octubre de 1997,Defensor,https://www.losmundialesdefutbol.com/jugadores/mathias_olivera.php
Olivera,Nicolas,"Olivera, Nicolas",Uruguay,30 de mayo de 1978,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/nicolas_olivera.php
Olivieri,Aldo,"Olivieri, Aldo",Italia,2 de octubre de 1910,Arquero,https://www.losmundialesdefutbol.com/jugadores/aldo_olivieri.php
Ollerton,Peter,"Ollerton, Peter",Australia,20 de mayo de 1951,Delantero,https://www.losmundialesdefutbol.com/jugadores/peter_ollerton.php
Olmedo,Quiterio,"Olmedo, Quiterio",Paraguay,21 de diciembre de 1907,Defensor,https://www.losmundialesdefutbol.com/jugadores/quiterio_olmedo.php
Olmi,Renato,"Olmi, Renato",Italia,12 de julio de 1914,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/renato_olmi.php
Olmo,Antonio,"Olmo, Antonio",EspaÃ±a,18 de enero de 1954,Defensor,https://www.losmundialesdefutbol.com/jugadores/antonio_olmo.php
Olmo,Dani,"Olmo, Dani",EspaÃ±a,7 de mayo de 1998,Delantero,https://www.losmundialesdefutbol.com/jugadores/dani_olmo.php
Olsen,Ben,"Olsen, Ben",Estados Unidos,03 de mayo de 1977,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/ben_olsen.php
Olsen,Jesper,"Olsen, Jesper",Dinamarca,20 de marzo de 1961,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/jesper_olsen.php
Olsen,Morten,"Olsen, Morten",Dinamarca,14 de agosto de 1949,Defensor,https://www.losmundialesdefutbol.com/jugadores/morten_olsen.php
Olsen,Robin,Robin Olsen,Suecia,8 de enero de 1990,Arquero,https://www.losmundialesdefutbol.com/jugadores/robin_olsen.php
Olsson,Gunnar,"Olsson, Gunnar",Suecia,19 de julio de 1908,Delantero,https://www.losmundialesdefutbol.com/jugadores/gunnar_olsson.php
Olsson,Jan,"Olsson, Jan",Suecia,30 de marzo de 1942,Defensor,https://www.losmundialesdefutbol.com/jugadores/jan_olsson.php
Olsson,Martin,Martin Tony Waikwa Olsson,Suecia,17 de mayo de 1988,Defensor,https://www.losmundialesdefutbol.com/jugadores/martin_olsson.php
Olufade,Adekanmi,"Olufade, Adekanmi",Togo,7 de enero de 1980,Delantero,https://www.losmundialesdefutbol.com/jugadores/adekanmi_olufade.php
Omam-Biyik,Francois,"Omam-Biyik, Francois",CamerÃºn,21 de mayo de 1966,Delantero,https://www.losmundialesdefutbol.com/jugadores/francois_omam_biyik.php
Omerovic,Fahrudin,"Omerovic, Fahrudin",Yugoslavia,26 de agosto de 1961,Arquero,https://www.losmundialesdefutbol.com/jugadores/fahrudin_omerovic.php
Omeruo,Kenneth,Kenneth Josiah Omeruo,Nigeria,17 de octubre de 1993,Defensor,https://www.losmundialesdefutbol.com/jugadores/kenneth_omeruo.php
Omlin,Jonas,"Omlin, Jonas",Suiza,10 de enero de 1994,Arquero,https://www.losmundialesdefutbol.com/jugadores/jonas_omlin.php
Omura,Norio,"Omura, Norio",JapÃ³n,6 de septiembre de 1969,Defensor,https://www.losmundialesdefutbol.com/jugadores/norio_omura.php
Onana,Amadou,Amadou Zeund Georges Ba Mvom Onana,BÃ©lgica,16 de agosto de 2001,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/amadou_onana.php
Onana,AndrÃ©,AndrÃ© Onana Onana,CamerÃºn,2 de abril de 1996,Arquero,https://www.losmundialesdefutbol.com/jugadores/andre_onana.php
Onana,Jean,"Onana, Jean",CamerÃºn,13 de octubre de 1951,Defensor,https://www.losmundialesdefutbol.com/jugadores/jean_onana.php
Onana,Jules Denis,"Onana, Jules Denis",CamerÃºn,12 de junio de 1964,Defensor,https://www.losmundialesdefutbol.com/jugadores/jules_denis_onana.php
Onazi,Ogenyi,Ogenyi Eddy Onazi,Nigeria,25 de diciembre de 1992,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/ogenyi_onazi.php
Ondoua,GaÃ«l,GaÃ«l Bella Ondoua,CamerÃºn,4 de noviembre de 1995,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/gael_ondoua.php
Onega,Ermindo,Ermindo Ãngel Onega,Argentina,4 de abril de 1939,Delantero,https://www.losmundialesdefutbol.com/jugadores/ermindo_onega.php
Ono,Shinji,"Ono, Shinji",JapÃ³n,27 de septiembre de 1979,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/shinji_ono.php
Onopko,Viktor,"Onopko, Viktor",Rusia,14 de octubre de 1969,Defensor,https://www.losmundialesdefutbol.com/jugadores/viktor_onopko.php
Onyewu,Oguchi,"Onyewu, Oguchi",Estados Unidos,13 de mayo de 1982,Defensor,https://www.losmundialesdefutbol.com/jugadores/oguchi_onyewu.php
Ooijer,Andre,"Ooijer, Andre",Paises Bajos,11 de julio de 1974,Defensor,https://www.losmundialesdefutbol.com/jugadores/andre_ooijer.php
Ooms,Karel,"Ooms, Karel",Paises Bajos,,Delantero,https://www.losmundialesdefutbol.com/jugadores/karel_ooms.php
Opabunmi,Femi,"Opabunmi, Femi",Nigeria,3 de marzo de 1985,Delantero,https://www.losmundialesdefutbol.com/jugadores/femi_opabunmi.php
Oparaku,Mobi,"Oparaku, Mobi",Nigeria,1 de diciembre de 1976,Defensor,https://www.losmundialesdefutbol.com/jugadores/mobi_oparaku.php
Opare,Daniel,"Opare, Daniel",Ghana,18 de octubre de 1990,Defensor,https://www.losmundialesdefutbol.com/jugadores/daniel_opare.php
Openda,Lois,Ikoma LoÃ¯s Openda,BÃ©lgica,16 de febrero de 2000,Delantero,https://www.losmundialesdefutbol.com/jugadores/lois_openda.php
Oprinsen,Toon,"Oprinsen, Toon",Paises Bajos,25 de noviembre de 1910,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/toon_oprinsen.php
Oraby,Osama,"Oraby, Osama",Egipto,25 de enero de 1962,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/osama_oraby.php
Ordiales,Jaime,"Ordiales, Jaime",MÃ©xico,23 de diciembre de 1962,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/jaime_ordiales.php
,Oreco,Oreco,Brasil,13 de junio de 1932,Defensor,https://www.losmundialesdefutbol.com/jugadores/oreco.php
Orellana,Fabian,"Orellana, Fabian",Chile,27 de enero de 1986,Delantero,https://www.losmundialesdefutbol.com/jugadores/fabian_orellana.php
Oriali,Gabriele,"Oriali, Gabriele",Italia,25 de noviembre de 1952,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/gabriele_oriali.php
Origi,Divock,"Origi, Divock",BÃ©lgica,18 de abril de 1995,Delantero,https://www.losmundialesdefutbol.com/jugadores/divock_origi.php
Orion,Agustin,"Orion, Agustin",Argentina,26 de junio de 1981,Arquero,https://www.losmundialesdefutbol.com/jugadores/agustin_orion.php
Orlandini,Rodolfo,"Orlandini, Rodolfo",Argentina,1 de enero de 1905,Defensor,https://www.losmundialesdefutbol.com/jugadores/rodolfo_orlandini.php
,Orlando,Orlando,Brasil,20 de septiembre de 1935,Defensor,https://www.losmundialesdefutbol.com/jugadores/orlando.php
Ormeno,Raul,"Ormeno, Raul",Chile,21 de junio de 1958,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/raul_ormeno.php
Ormond,Willie,"Ormond, Willie",Escocia,23 de febrero de 1927,Delantero,https://www.losmundialesdefutbol.com/jugadores/willie_ormond.php
Orsi,Raimundo,"Orsi, Raimundo",Italia,2 de diciembre de 1901,Delantero,https://www.losmundialesdefutbol.com/jugadores/raimundo_orsi.php
Orsic,Mislav,Mislav OrÅ¡iÄ‡,Croacia,29 de diciembre de 1992,Delantero,https://www.losmundialesdefutbol.com/jugadores/mislav_orsic.php
Ortega,Amadeo,"Ortega, Amadeo",Paraguay,,Delantero,https://www.losmundialesdefutbol.com/jugadores/amadeo_ortega.php
Ortega,Ariel,"Ortega, Ariel",Argentina,4 de marzo de 1974,"Delantero, Mediocampista",https://www.losmundialesdefutbol.com/jugadores/ariel_ortega.php
Ortega,Cristobal,"Ortega, Cristobal",MÃ©xico,25 de julio de 1956,"Delantero, Mediocampista",https://www.losmundialesdefutbol.com/jugadores/cristobal_ortega.php
Ortelli,Arnaldo,"Ortelli, Arnaldo",Suiza,,Defensor,https://www.losmundialesdefutbol.com/jugadores/arnaldo_ortelli.php
Orth,Josef,"Orth, Josef",Checoslovaquia,,Defensor,https://www.losmundialesdefutbol.com/jugadores/josef_orth.php
Ortigoza,Nestor,"Ortigoza, Nestor",Paraguay,7 de octubre de 1984,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/nestor_ortigoza.php
Ortiz,Guillermo,"Ortiz, Guillermo",MÃ©xico,25 de junio de 1940,Delantero,https://www.losmundialesdefutbol.com/jugadores/guillermo_ortiz.php
Ortiz,Hector,HÃ©ctor Ortiz BenÃ­tez,MÃ©xico,20 de diciembre de 1928,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/hector_ortiz.php
Ortiz,Mario,"Ortiz, Mario",Chile,28 de enero de 1936,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/mario_ortiz.php
Ortiz,Nestor,"Ortiz, Nestor",Colombia,26 de septiembre de 1968,Defensor,https://www.losmundialesdefutbol.com/jugadores/nestor_ortiz.php
Ortiz,Oscar,"Ortiz, Oscar",Argentina,8 de abril de 1953,Delantero,https://www.losmundialesdefutbol.com/jugadores/oscar_ortiz.php
Ortuno,Washington,"Ortuno, Washington",Uruguay,13 de mayo de 1928,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/washington_ortuno.php
Oruma,Wilson,"Oruma, Wilson",Nigeria,30 de diciembre de 1976,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/wilson_oruma.php
Osako,Yuya,Yuya Osako,JapÃ³n,18 de mayo de 1990,Delantero,https://www.losmundialesdefutbol.com/jugadores/yuya_osako.php
Osben,Mario,"Osben, Mario",Chile,14 de julio de 1950,Arquero,https://www.losmundialesdefutbol.com/jugadores/mario_osben.php
,Oscar,Oscar,Brasil,20 de junio de 1954,Defensor,https://www.losmundialesdefutbol.com/jugadores/oscar.php
,Oscar dos Santos Emboada Junior,Oscar dos Santos Emboada Junior,Brasil,9 de septiembre de 1991,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/oscar_2.php
,Oscarino,Oscarino,Brasil,17 de enero de 1907,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/oscarino.php
Osgood,Peter,"Osgood, Peter",Inglaterra,20 de febrero de 1947,Delantero,https://www.losmundialesdefutbol.com/jugadores/peter_osgood.php
