apellido,nombre,nombre_completo,seleccion,fecha_nacimiento,posicion,url_ficha
Bonucci,Leonardo,"Bonucci, Leonardo",Italia,1 de mayo de 1987,Defensor,https://www.losmundialesdefutbol.com/jugadores/leonardo_bonucci.php
Bonvallet,Eduardo,"Bonvallet, Eduardo",Chile,13 de enero de 1955,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/eduardo_bonvallet.php
Bony,Wilfried,"Bony, Wilfried",Costa de Marfil,10 de diciembre de 1988,Delantero,https://www.losmundialesdefutbol.com/jugadores/wilfried_bony.php
Bookie,Mike,"Bookie, Mike",Estados Unidos,12 de septiembre de 1904,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/mike_bookie.php
Booth,Matthew,"Booth, Matthew",SudÃ¡frica,14 de marzo de 1977,Defensor,https://www.losmundialesdefutbol.com/jugadores/matthew_booth.php
Booth,Scott,"Booth, Scott",Escocia,16 de diciembre de 1971,Delantero,https://www.losmundialesdefutbol.com/jugadores/scott_booth.php
Borba,George,"Borba, George",Israel,12 de julio de 1944,Delantero,https://www.losmundialesdefutbol.com/jugadores/george_borba.php
Borbolla,Jose,"Borbolla, Jose",MÃ©xico,31 de enero de 1920,Delantero,https://www.losmundialesdefutbol.com/jugadores/jose_borbolla.php
Bordon,Ivano,"Bordon, Ivano",Italia,13 de abril de 1951,Arquero,https://www.losmundialesdefutbol.com/jugadores/ivano_bordon.php
Borel,Felice,"Borel, Felice",Italia,5 de abril de 1914,Delantero,https://www.losmundialesdefutbol.com/jugadores/felice_borel.php
Borelli,Jorge,"Borelli, Jorge",Argentina,2 de noviembre de 1964,Defensor,https://www.losmundialesdefutbol.com/jugadores/jorge_borelli.php
Borg,Hasse,"Borg, Hasse",Suecia,4 de agosto de 1953,Defensor,https://www.losmundialesdefutbol.com/jugadores/hasse_borg.php
Borges,Carlos,"Borges, Carlos",Uruguay,14 de enero de 1932,Delantero,https://www.losmundialesdefutbol.com/jugadores/carlos_borges.php
Borges,Celso,Celso Borges Mora,Costa Rica,27 de mayo de 1988,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/celso_borges.php
Borgetti,Jared,"Borgetti, Jared",MÃ©xico,14 de agosto de 1973,Delantero,https://www.losmundialesdefutbol.com/jugadores/jared_borgetti.php
Borghi,Claudio,"Borghi, Claudio",Argentina,28 de septiembre de 1964,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/claudio_borghi.php
Borghi,Frank,"Borghi, Frank",Estados Unidos,9 de abril de 1925,Arquero,https://www.losmundialesdefutbol.com/jugadores/frank_borghi.php
Borhani,Arash,"Borhani, Arash",IrÃ¡n,14 de septiembre de 1983,Delantero,https://www.losmundialesdefutbol.com/jugadores/arash_borhani.php
Borimirov,Daniel,"Borimirov, Daniel",Bulgaria,15 de enero de 1970,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/daniel_borimirov.php
Borisov,Krasimir,"Borisov, Krasimir",Bulgaria,8 de abril de 1950,Delantero,https://www.losmundialesdefutbol.com/jugadores/krasimir_borisov.php
Borja,Carlos,"Borja, Carlos",Bolivia,25 de diciembre de 1956,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/carlos_borja.php
Borja,Enrique,"Borja, Enrique",MÃ©xico,30 de diciembre de 1945,Delantero,https://www.losmundialesdefutbol.com/jugadores/enrique_borja.php
Borja,Felix,"Borja, Felix",Ecuador,2 de abril de 1983,Delantero,https://www.losmundialesdefutbol.com/jugadores/felix_borja.php
Borja,Miguel,Miguel Ãngel Borja HernÃ¡ndez,Colombia,26 de enero de 1993,Delantero,https://www.losmundialesdefutbol.com/jugadores/miguel_borja.php
Borjan,Milan,Milan Borjan,CanadÃ¡,23 de octubre de 1987,Arquero,https://www.losmundialesdefutbol.com/jugadores/milan_borjan.php
Borjesson,Reino,"Borjesson, Reino",Suecia,4 de febrero de 1929,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/reino_borjesson.php
Borkelmans,Vital,"Borkelmans, Vital",BÃ©lgica,1 de junio de 1963,Defensor,https://www.losmundialesdefutbol.com/jugadores/vital_borkelmans.php
Bornstein,Jonathan,"Bornstein, Jonathan",Estados Unidos,7 de noviembre de 1984,Defensor,https://www.losmundialesdefutbol.com/jugadores/jonathan_bornstein.php
Borodyuk,Aleksandr,"Borodyuk, Aleksandr",URSS,30 de noviembre de 1962,"Delantero, Mediocampista",https://www.losmundialesdefutbol.com/jugadores/aleksandr_borodyuk.php
Boromand,Parviz,"Boromand, Parviz",IrÃ¡n,11 de septiembre de 1972,Arquero,https://www.losmundialesdefutbol.com/jugadores/parviz_boromand.php
Borovicka,Jaroslav,"Borovicka, Jaroslav",Checoslovaquia,26 de enero de 1931,Delantero,https://www.losmundialesdefutbol.com/jugadores/jaroslav_borovicka.php
Borovski,Sergei,"Borovski, Sergei",URSS,29 de enero de 1956,Defensor,https://www.losmundialesdefutbol.com/jugadores/sergei_borovski.php
Borowski,Tim,"Borowski, Tim",Alemania,2 de mayo de 1980,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/tim_borowski.php
Boruc,Artur,"Boruc, Artur",Polonia,20 de febrero de 1980,Arquero,https://www.losmundialesdefutbol.com/jugadores/artur_boruc.php
Bosacki,Bartosz,"Bosacki, Bartosz",Polonia,20 de diciembre de 1975,Defensor,https://www.losmundialesdefutbol.com/jugadores/bartosz_bosacki.php
Boschker,Sander,"Boschker, Sander",Paises Bajos,20 de octubre de 1970,Arquero,https://www.losmundialesdefutbol.com/jugadores/sander_boschker.php
Boskamp,Johan,"Boskamp, Johan",Paises Bajos,21 de octubre de 1948,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/johan_boskamp.php
Boskov,Vujadin,"Boskov, Vujadin",Yugoslavia,16 de mayo de 1931,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/vujadin_boskov.php
Bosman,John,"Bosman, John",Paises Bajos,1 de febrero de 1965,Delantero,https://www.losmundialesdefutbol.com/jugadores/john_bosman.php
Bosnjak,Ivan,"Bosnjak, Ivan",Croacia,6 de febrero de 1979,Delantero,https://www.losmundialesdefutbol.com/jugadores/ivan_bosnjak.php
Bosquier,Bernard,"Bosquier, Bernard",Francia,19 de junio de 1942,Defensor,https://www.losmundialesdefutbol.com/jugadores/bernard_bosquier.php
Bossi,Giuseppe,"Bossi, Giuseppe",Suiza,29 de agosto de 1911,Delantero,https://www.losmundialesdefutbol.com/jugadores/giuseppe_bossi.php
Bossio,Angel,"Bossio, Angel",Argentina,5 de mayo de 1905,Arquero,https://www.losmundialesdefutbol.com/jugadores/angel_bossio.php
Bossio,Miguel,"Bossio, Miguel",Uruguay,10 de febrero de 1960,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/miguel_bossio.php
Bossis,Maxime,"Bossis, Maxime",Francia,26 de junio de 1955,Defensor,https://www.losmundialesdefutbol.com/jugadores/maxime_bossis.php
Bossut,Sammy,"Bossut, Sammy",BÃ©lgica,11 de agosto de 1985,Arquero,https://www.losmundialesdefutbol.com/jugadores/sammy_bossut.php
Botasso,Juan,"Botasso, Juan",Argentina,23 de octubre de 1908,Arquero,https://www.losmundialesdefutbol.com/jugadores/juan_botasso.php
Bouazizi,Riadh,"Bouazizi, Riadh",TÃºnez,8 de abril de 1973,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/riadh_bouazizi.php
Boucek,Jaroslav,"Boucek, Jaroslav",Checoslovaquia,13 de noviembre de 1912,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/jaroslav_boucek.php
Boudebouz,Ryad,"Boudebouz, Ryad",Argelia,19 de febrero de 1990,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/ryad_boudebouz.php
Bouderbala,Aziz,"Bouderbala, Aziz",Marruecos,26 de diciembre de 1960,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/aziz_bouderbala.php
Boudiaf,Karim,Karim Boudiaf,Catar,16 de septiembre de 1990,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/karim_boudiaf.php
Boufal,Sofiane,"Boufal, Sofiane",Marruecos,17 de septiembre de 1993,Delantero,https://www.losmundialesdefutbol.com/jugadores/sofiane_boufal.php
Bougherra,Madjid,"Bougherra, Madjid",Argelia,7 de octubre de 1982,Defensor,https://www.losmundialesdefutbol.com/jugadores/madjid_bougherra.php
Bouhaddouz,Aziz,Aziz Bouhaddouz,Marruecos,30 de marzo de 1987,Delantero,https://www.losmundialesdefutbol.com/jugadores/aziz_bouhaddouz.php
Boukadida,Mounir,"Boukadida, Mounir",TÃºnez,24 de octubre de 1967,Defensor,https://www.losmundialesdefutbol.com/jugadores/mounir_boukadida.php
Boukar,Alioum,"Boukar, Alioum",CamerÃºn,3 de enero de 1972,Arquero,https://www.losmundialesdefutbol.com/jugadores/alioum_boukar.php
Boulahrouz,Khalid,"Boulahrouz, Khalid",Paises Bajos,28 de diciembre de 1981,Defensor,https://www.losmundialesdefutbol.com/jugadores/khalid_boulahrouz.php
Boumnijel,Ali,"Boumnijel, Ali",TÃºnez,13 de abril de 1966,Arquero,https://www.losmundialesdefutbol.com/jugadores/ali_boumnijel.php
Boumsong,Jean-Alain,"Boumsong, Jean-Alain",Francia,14 de diciembre de 1979,Defensor,https://www.losmundialesdefutbol.com/jugadores/jean_alain_boumsong.php
